locationId,place.name,is_fch,is_local,rated_count,average_photonum,average_rating,category_l
35288627,서울집 신림직영점,0,1,34,0.14705882352941174,4.641025641025638,0
37402425,오리지널팬케이크하우스 이태원점,0,1,28,0.4642857142857143,4.5,0
11691751,정성본샤브수끼칼국수,0,1,15,0.0,4.219512195121951,0
749127139,큐브호텔,0,1,1,0.0,5.0,1
11477316,청담골,0,1,50,0.4,4.372727272727274,0
35085457,호텔박사,0,1,1,0.0,5.0,1
1048376166,호스텔베네,0,1,1,0.0,5.0,1
1112774603,청담동마녀김밥 대치점,0,1,65,0.15384615384615385,4.506024096385544,0
1228141060,Si호텔,0,1,1,0.0,4.0,1
36111819,호텔나포레,0,1,1,0.0,4.0,1
1137153331,드레곤시티호텔,0,1,1,0.0,5.0,1
1621006573,할매순대국&양선지해장국,0,1,2,0.0,5.0,0
1048501798,한울푸드,0,1,1,0.0,5.0,0
1650205084,우리동네,0,1,114,0.008771929824561403,4.27941176470587,0
1274897924,샤오바오우육면,0,1,55,0.4545454545454545,4.394736842105261,0
34300204,Ever8레지던스,0,1,1,0.0,4.0,1
1257449628,보성커머스신림지점 몰빵,0,1,70,0.028571428571428567,4.457831325301204,0
9181390,물바우횟집,0,1,2,0.0,5.0,0
9165885,조마루감자탕,0,1,2,0.0,3.5,0
9122846,청진동해장국,0,1,1,0.0,3.0,0
8877315,봉평골메밀막국수,0,1,1,0.0,4.0,0
8882285,연탄마을,0,1,1,0.0,4.0,0
9280347,신촌새우왕,0,1,1,0.0,3.0,0
9313104,삼성동요리명가,0,1,1,0.0,2.0,0
8960746,황박사수원왕갈비,0,1,1,0.0,4.0,0
8960747,황박사수원갈비,0,1,1,0.0,4.0,0
9385028,남오토코,0,1,1,0.0,4.0,0
9385034,남오토코,0,1,1,0.0,3.0,0
9385017,남오토코,0,1,1,0.0,3.0,0
9272264,서울커피숍,0,1,1,0.0,4.0,0
9198176,영천영화,0,1,1,0.0,4.0,0
9433053,꼴통치킨,0,1,1,0.0,3.0,0
9001983,호치킨,0,1,1,0.0,3.0,0
9434742,코바코,0,1,1,0.0,3.0,0
9213404,더오븐베이커리,0,1,1,0.0,3.0,0
9127645,치킨마루,0,1,1,0.0,4.0,0
8964000,향원,0,1,1,0.0,3.0,0
9383647,나마스테,0,1,1,0.0,4.0,0
9397114,마님과돌쇠,0,1,1,0.0,3.0,0
8953605,바이구이,0,1,1,1.0,4.0,0
9134108,최씨부엌,0,1,1,0.0,3.0,0
9080216,옹기집,0,1,1,1.0,3.0,0
9067741,동진칼국수,0,1,1,0.0,2.0,0
9412866,모고그릴삼겹바,0,1,1,0.0,4.0,0
4073551,매봉산장,0,1,3,0.0,3.5,0
4074339,원조 소문난 쭈꾸미 낙지철판,0,1,1,0.0,4.0,0
1844818269,아티제삼성타운2점,0,1,43,0.09302325581395347,4.5800000000000045,0
11761619,용우동 동국대점,0,1,14,0.21428571428571427,4.214285714285714,0
20903295,샐러데이즈&샌디데이즈 이수방배점,1,1,1,1.0,5.0,0
15858210,인사동 닭갈비 수제막국수,0,1,2,2.5,3.5,0
17558713,쿵푸마라탕,0,1,2,2.0,5.0,0
9338912,청정바지락칼국수보쌈,0,1,1,4.0,4.0,0
20860800,즐거운맛돈까스,0,1,1,2.0,5.0,0
20403351,솔마루 옹심이 메밀 칼국수,0,1,1,3.0,5.0,0
17558707,굿모닝,0,1,2,2.0,4.5,0
20381818,바로군,0,1,1,2.0,5.0,0
20376450,만랩나미브,0,1,1,3.0,5.0,0
20374064,희래식당,0,1,1,2.0,4.0,0
19408096,밀사랑칼국수,0,1,2,3.0,4.5,0
20374017,촙촙,0,1,1,4.0,5.0,0
20374011,챔프커피 제3작업실,0,1,1,3.0,5.0,0
20317689,콩앗간,0,1,1,2.0,3.0,0
20324252,엔제리너스 - 롯데몰 은평 4층점,1,1,1,2.0,5.0,0
20341495,완판생국수,0,1,1,3.0,4.0,0
20324263,홍미당 - 종로 효성 주얼리시티점,1,1,1,3.0,2.0,0
20328071,마라공방 - 을지 트윈타워점,1,1,1,1.0,3.0,0
20326791,직화한상 - 을지로점,1,1,1,1.0,4.0,0
19625631,로쏘 1924,0,1,1,3.0,5.0,0
9116321,디얼브라운,0,1,1,2.0,3.0,0
20253625,서촌옹심이 메밀칼국수,0,1,1,4.0,4.0,0
20253760,성우육회,0,1,1,3.0,4.0,0
20253755,학림커피,0,1,1,4.0,5.0,0
20260763,에슬로우 - 을지로4가점,1,1,1,3.0,4.0,0
20260671,동묘발전소,0,1,1,2.0,5.0,0
20238053,크앙분식 - 혜화본점,1,1,1,5.0,4.0,0
20209861,맛도리찬 & 개념떡볶이 - 종로 운니점,1,1,1,3.0,4.0,0
20203118,33떡볶이 - 대학로점,1,1,1,2.0,4.0,0
20203062,꼰대꽈배기 - 인사동점,1,1,1,2.0,4.0,0
15187392,4.5평우동,0,1,1,3.0,5.0,0
20159591,라운드 앤드,0,1,1,0.0,5.0,0
20159581,봉평 옹심이막국수,0,1,1,2.0,5.0,0
20153639,장우손 부산어묵  - 서울 광장시장점,1,1,1,3.0,5.0,0
9059412,금룡,0,1,1,2.0,2.0,0
20153618,펜앤커피,0,1,1,4.0,5.0,0
20138972,라화방 마라탕 - 동국대점,1,1,1,3.0,4.0,0
20138962,빚은 - 신사역점,1,1,1,2.0,4.0,0
