locationId,0,1,2,3,4,5,6,7
1903313528,-1524.9768,-1495.9963,-1496.0225,-1503.3911,-1699.1718,-1699.1978,-1699.2239,-1699.2499
1138352479,-1813.0885,-1813.1016,-1813.134,-1813.1536,-2261.1003,-2261.1199,-2167.7275,-2167.747
1720353933,-793.82764,-793.84186,-821.97723,-819.333,-814.64954,-917.1716,-913.0613,-913.0706
11659089,-911.49927,-911.5383,-911.55786,-911.5969,-911.636,-911.67505,-911.6946,-911.73364
35532451,-2479.0784,-2479.0784,-2479.0784,-2479.1174,-2479.1174,-1922.2794,-1922.2794,-2479.1565
11599485,-2335.5823,-2335.5823,-1980.6698,-1980.6698,-2335.6213,-2335.6213,-2335.6604,-2335.6604
36508137,-2121.3538,-1995.147,-2121.6401,-2123.4238,-2149.527,-1896.8401,-2291.4739,-1783.5743
1271552164,-1771.421,-1771.4406,-1771.4796,-1771.4991,-1771.5382,-1771.5577,-1771.5773,-1771.5968
20083883,-156.9456,-120.69293,-120.80067,-120.81043,-120.90841,-121.015526,-121.10374,-121.19132
37336128,-8358.621,-8447.642,-8490.719,-8662.604,-8504.524,-8711.764,-8663.026,-8216.864
1135614482,-2334.2935,-2334.2935,-2334.2935,-2334.3325,-2334.3325,-2334.3716,-1861.1158,-1861.1158
1905269536,-596.6687,-542.3171,-435.27383,-624.277,-281.6546,-352.85193,-557.3115,-558.6953
11555814,-276.7446,-278.71008,-278.9204,-276.68185,-268.16064,-266.42413,-252.0903,-265.27844
12309433,-152.05206,-152.05206,-152.13017,-3106.0242,-3106.0242,-152.2864,-3106.0632,-3106.1023
21845155,-2071.4626,-2032.3845,-1982.5011,-1965.0334,-1962.1567,-2038.4926,-1946.98,-1975.3687
20369811,-191.41878,-181.1616,-177.16571,-172.24753,-169.79,-155.72055,-165.7707,-175.43
37537210,-2193.258,-2193.258,-2193.297,-2193.3362,-2193.3752,-2193.3752,-2193.3752,-2193.3752
18057919,-1248.1135,-1248.1526,-1248.1917,-1248.2177,-1248.2567,-1248.2958,-1248.3348,-1248.3608
11583201,-1993.6461,-2126.8481,-2100.0479,-2034.1411,-1979.4452,-1981.3451,-2062.0757,-1997.2976
12873138,-1898.6095,-1905.2888,-1895.4417,-1882.1356,-1894.8733,-1882.1439,-1878.804,-1878.564
32811983,-1063.6454,-1063.6698,-1063.6874,-1063.7047,-1063.7186,-1065.5947,-993.7648,-1065.619
1281784947,-1255.1047,-1255.1438,-1255.1829,-1255.2219,-1255.261,-1255.3,-1255.3391,-1255.3782
749127139,-343.69946,-343.79083,-343.87567,-343.8952,-343.98004,-343.99307,-344.0191,-344.10394
35085457,-112.25228,-108.84154,-119.497604,-107.35894,-106.09879,-103.45622,-110.07359,-109.41978
1048376166,-2638.4373,-2825.578,-2734.1333,-2584.4265,-2731.9255,-2769.4517,-2646.9575,-2338.385
857998335,-3788.7725,-3795.6697,-3800.0657,-3936.6226,-4059.9614,-4018.8035,-3789.585,-3841.8074
1228141060,-1204.9749,-1204.9749,-1204.9944,-1205.0139,-77.999664,-1205.053,-1205.0725,-1205.0725
36111819,-2900.9678,-2916.601,-2899.185,-2964.4746,-2872.071,-2877.569,-2778.5842,-2818.2507
1137153331,2577.2888,2577.2888,2577.2888,2577.2888,2577.2888,2577.3308,2577.3308,2168.5552
11583196,-10100.16,-10100.178,-10100.267,-10100.284,-10100.302,-10100.32,-10100.32,-10100.338
31849986,-10115.733,-10115.745,-10115.745,-10115.757,-10512.527,-10512.527,-10512.527,-10512.527
1599507453,-10236.942,-10089.313,-9828.721,-10253.943,-10339.795,-10422.9,-10383.26,-10412.511
1569821908,-4.742661,2.302086,-0.13899393,-11.943812,-26.4248,-18.92772,-1.9622015,-13.914903
11579381,-596.3425,-653.49457,-686.9918,-557.67535,-587.4176,-640.006,-615.8484,-646.3866
34300204,-1071.7313,-1071.7704,-1071.8094,-1071.8485,-1071.8876,-1071.9266,-1071.9657,-1072.0048
11659052,-2956.5522,-84.79561,-84.83467,-84.83467,-2956.5913,-2956.6304,-2956.6304,-2956.6694
36105161,-1936.1447,-1936.1447,-1936.1447,-1936.1447,-1936.1447,-1936.1447,-2092.0217,-2092.0217
